startTime,1600143193974
d,67.96,52.77,501,1600143215290
m,67.55,53.75,493,1600143215336
m,67.49,54.02,492,1600143215348
m,67.19,54.59,490,1600143215383
m,64.17,60.7,489,1600143215556
m,63.97,61.18,489,1600143215568
m,63.73,61.65,491,1600143215579
m,63.22,62.79,494,1600143215602
m,62.87,63.2,497,1600143215613
m,62.18,64.42,500,1600143215659
m,62.12,64.56,505,1600143215671
m,62.01,64.6,509,1600143215694
m,61.99,64.69,515,1600143215706
m,61.97,64.67,299,1600143215764
u,61.97,64.67,299,1600143215764
d,68.54,51,661,1600143216492
m,68.5,50.98,745,1600143216514
m,68.55,51,742,1600143216526
m,68.35,51.5,702,1600143216618
m,68.25,51.81,703,1600143216630
m,68.18,52.03,704,1600143216641
m,68.09,52.26,703,1600143216653
m,67.96,52.75,701,1600143216676
m,67.82,53.04,701,1600143216688
m,67.67,53.37,701,1600143216700
m,67.53,53.71,702,1600143216711
m,67.41,53.96,703,1600143216722
m,67.18,54.44,701,1600143216745
m,67.02,54.68,701,1600143216757
m,66.99,54.97,702,1600143216769
m,66.91,55.22,704,1600143216781
m,66.83,55.47,701,1600143216791
m,66.76,55.72,701,1600143216803
m,66.58,55.92,700,1600143216815
m,66.48,56.21,702,1600143216826
m,66.34,56.47,703,1600143216838
m,66.15,56.8,707,1600143216849
m,65.88,57.18,714,1600143216861
m,65.61,57.57,716,1600143216872
m,65.41,57.98,716,1600143216884
m,65.15,58.39,717,1600143216896
m,64.66,59.21,727,1600143216919
m,64.37,59.47,727,1600143216930
m,64.22,59.81,728,1600143216942
m,64.05,60.16,738,1600143216953
m,63.87,60.45,739,1600143216965
m,63.66,60.78,745,1600143216976
m,63.45,61.13,762,1600143216989
m,63.24,61.43,761,1600143216999
m,63.05,61.79,761,1600143217011
m,62.85,62.05,759,1600143217023
m,62.67,62.25,757,1600143217034
m,62.54,62.48,759,1600143217045
m,62.45,62.71,760,1600143217058
m,62.37,62.86,761,1600143217069
m,62.29,62.97,766,1600143217080
m,62.23,63.02,766,1600143217091
m,62.21,63.05,769,1600143217104
